Protocol,Subject,Date,HR,FA
MaxLMS400pct,HERO_asb1,040716,1.000,0.000
MaxLMS400pct,HERO_aso1,033016,1.000,0.000
MaxLMS400pct,HERO_gka1,040116,1.000,0.000
MaxLMS400pct,HERO_mxs1,040816,1.000,0.009
MaxLMSCRF,HERO_asb1,060816,1.000,0.000
MaxLMSCRF,HERO_aso1,060116,1.000,0.000
MaxLMSCRF,HERO_gka1,060616,1.000,0.000
MaxLMSCRF,HERO_mxs1,061016,1.000,0.000
MaxLMSCRF,HERO_mxs1,062416,1.000,0.000
MaxLMSCRF,HERO_mxs1,062816,1.000,0.000
MaxMel400pct,HERO_asb1,032416,1.000,0.000
MaxMel400pct,HERO_aso1,032516,1.000,0.000
MaxMel400pct,HERO_gka1,031516,0.909,0.015
MaxMel400pct,HERO_gka1,033116,1.000,0.000
MaxMel400pct,HERO_gka1,052616,1.000,0.000
MaxMel400pct,HERO_mxs1,040616,1.000,0.005
MaxMelCRF,HERO_asb1,052716,1.000,0.005
MaxMelCRF,HERO_asb1,060716,1.000,0.000
MaxMelCRF,HERO_aso1,053116,1.000,0.000
MaxMelCRF,HERO_gka1,060216,1.000,0.000
MaxMelCRF,HERO_mxs1,060916,1.000,0.008
MaxMelCRF,HERO_mxs1,061016,1.000,0.010
RodControl,HERO_asb1,101916,0.000,0.000
RodControl,HERO_gka1,101916,0.000,0.000
RodControl,HERO_gka1,102416,0.000,0.000
RodControl,HERO_mxs1,101916,0.000,0.000
RodControl,HERO_mxs1,102416,0.000,0.000
SplatterControlCRF,HERO_asb1,051016,1.000,0.000
SplatterControlCRF,HERO_aso1,042916,1.000,0.000
SplatterControlCRF,HERO_gka1,050616,1.000,0.000
SplatterControlCRF,HERO_mxs1,050916,1.000,0.000
