Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.748e-06,1.0603e-05,4.534e-06,2.437e-05
382,9.638e-06,1.0896e-05,4.58e-06,2.102e-05
384,7.141e-06,1.1016e-05,4.688e-06,1.8715e-05
386,6.615e-06,1.0426e-05,4.724e-06,2.197e-05
388,7.203e-06,9.75e-06,4.478e-06,2.0129e-05
390,5.386e-06,1.0585e-05,4.55e-06,1.9926e-05
392,5.829e-06,1.0979e-05,4.616e-06,1.6923e-05
394,5.944e-06,1.0859e-05,4.449e-06,1.6364e-05
396,5.59e-06,1.0534e-05,4.569e-06,1.779e-05
398,6.522e-06,1.0971e-05,4.138e-06,1.539e-05
400,7.004e-06,9.912e-06,4.21e-06,1.5716e-05
402,6.495e-06,9.655e-06,3.96e-06,1.6392e-05
404,6.058e-06,9.02e-06,4.09e-06,1.663e-05
406,5.517e-06,9.138e-06,3.904e-06,1.5522e-05
408,6.184e-06,9.884e-06,3.587e-06,1.5058e-05
410,6.618e-06,9.781e-06,3.639e-06,1.5633e-05
412,8.488e-06,9.494e-06,3.949e-06,1.7777e-05
414,1.2224e-05,1.0402e-05,4.248e-06,2.37e-05
416,2.598e-05,1.4255e-05,4.758e-06,4.098e-05
418,5.938e-05,2.337e-05,6.359e-06,8.341e-05
420,0.00011622,3.927e-05,9.239e-06,0.00016095
422,0.00018961,5.917e-05,1.3217e-05,0.0002698
424,0.0002617,7.919e-05,1.8141e-05,0.000407
426,0.0003295,9.788e-05,2.46e-05,0.0005856
428,0.0003898,0.00011617,3.173e-05,0.0007905
430,0.0004348,0.00012957,3.822e-05,0.0009717
432,0.0004574,0.00013599,4.351e-05,0.0010946
434,0.000438,0.00013208,4.669e-05,0.0011394
436,0.0003683,0.00011309,4.714e-05,0.0010993
438,0.0002608,8.566e-05,4.512e-05,0.0009951
440,0.0001514,5.876e-05,4.276e-05,0.0008405
442,8.22e-05,4.278e-05,3.915e-05,0.0006355
444,6.064e-05,3.92e-05,3.6e-05,0.000436
446,5.715e-05,4.023e-05,3.404e-05,0.0002674
448,5.987e-05,4.308e-05,3.479e-05,0.00016336
450,6.39e-05,4.652e-05,3.747e-05,0.0001258
