Wavelength [nm],Background nominal [32 yrs],Modulation nominal [400% 32 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.1481e-05,5.2179e-05,8.9526e-06,4.102e-05
382,1.6028e-05,4.9021e-05,9.1464e-06,3.6624e-05
384,1.3569e-05,5.5534e-05,9.4508e-06,3.825e-05
386,1.3573e-05,5.0621e-05,8.613e-06,3.9002e-05
388,1.3131e-05,4.7304e-05,8.5054e-06,3.9444e-05
390,1.3774e-05,5.193e-05,8.3726e-06,3.53e-05
392,1.241e-05,4.733e-05,8.4834e-06,3.3386e-05
394,1.0031e-05,5.0191e-05,8.4088e-06,3.4544e-05
396,1.1832e-05,4.3435e-05,1.0315e-05,2.9416e-05
398,1.0801e-05,4.1561e-05,1.0067e-05,3.5108e-05
400,8.8015e-06,3.4908e-05,1.3045e-05,3.704e-05
402,7.5149e-06,3.5665e-05,1.9594e-05,4.3874e-05
404,8.6253e-06,3.8572e-05,2.8242e-05,5.5668e-05
406,9.779e-06,4.6901e-05,3.9544e-05,7.1424e-05
408,1.7175e-05,7.6149e-05,5.4046e-05,0.00010206
410,2.662e-05,0.00012956,7.5348e-05,0.00015478
412,4.9506e-05,0.00023525,0.00010439,0.00024668
414,7.1698e-05,0.00038647,0.00013075,0.000375
416,9.3376e-05,0.00057913,0.00014818,0.0005366
418,0.00011558,0.00084544,0.00015984,0.00075698
420,0.0001357,0.0011712,0.00017043,0.0010251
422,0.00015072,0.0015311,0.00017927,0.0013198
424,0.00015621,0.0018902,0.00018338,0.0016267
426,0.00014717,0.0022307,0.00017425,0.0019259
428,0.00011543,0.0024488,0.0001449,0.002146
430,8.1045e-05,0.0025254,0.00010489,0.002252
432,5.5162e-05,0.0024777,6.7172e-05,0.0022426
434,4.2257e-05,0.002336,4.4946e-05,0.002141
436,3.7084e-05,0.0021192,3.7196e-05,0.0019641
438,4.0418e-05,0.0018449,3.642e-05,0.0017226
