Wavelength [nm],Background nominal [28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.1579e-05,5.2081e-05,5.8469e-06,3.5923e-05
382,1.6121e-05,4.8927e-05,7.1642e-06,3.1625e-05
384,1.3611e-05,5.5493e-05,6.1051e-06,3.4112e-05
386,1.3632e-05,5.0562e-05,5.7784e-06,3.4675e-05
388,1.3212e-05,4.7222e-05,6.6595e-06,3.4627e-05
390,1.3866e-05,5.1838e-05,6.5139e-06,3.435e-05
392,1.2474e-05,4.7266e-05,5.8151e-06,3.7223e-05
394,1.0119e-05,5.0104e-05,6.951e-06,3.4574e-05
396,1.1911e-05,4.3356e-05,6.7882e-06,3.2146e-05
398,1.0896e-05,4.1466e-05,8.1075e-06,3.5164e-05
400,8.8659e-06,3.4844e-05,1.1706e-05,3.7324e-05
402,7.5756e-06,3.5604e-05,1.7138e-05,4.3715e-05
404,8.7136e-06,3.8484e-05,2.5173e-05,5.699e-05
406,9.8752e-06,4.6805e-05,3.5512e-05,7.1442e-05
408,1.7357e-05,7.5966e-05,4.8294e-05,9.5836e-05
410,2.6964e-05,0.00012921,6.7904e-05,0.00014045
412,5.0179e-05,0.00023457,9.2004e-05,0.00022356
414,7.2682e-05,0.00038549,0.00011511,0.00033394
416,9.4748e-05,0.00057776,0.00012994,0.00047648
418,0.0001173,0.00084372,0.0001402,0.00066752
420,0.00013771,0.0011692,0.00014936,0.00089746
422,0.00015293,0.0015289,0.00015764,0.0011531
424,0.00015849,0.0018879,0.00016108,0.001419
426,0.00014927,0.0022286,0.00015089,0.0016715
428,0.00011697,0.0024472,0.00012193,0.0018513
430,8.1994e-05,0.0025245,8.6042e-05,0.0019236
432,5.565e-05,0.0024772,5.5136e-05,0.0018937
434,4.247e-05,0.0023357,3.838e-05,0.0017824
436,3.7162e-05,0.0021191,3.243e-05,0.0016087
438,4.0481e-05,0.0018448,3.2218e-05,0.0013882
440,4.285e-05,0.0014851,3.3192e-05,0.0011087
442,4.6717e-05,0.001077,3.427e-05,0.00079476
444,5.0131e-05,0.00074636,3.6516e-05,0.00054964
446,5.4242e-05,0.00051977,3.8862e-05,0.00037874
448,5.8225e-05,0.0003887,4.234e-05,0.00027468
450,6.4372e-05,0.00031337,4.6938e-05,0.00021616
452,6.8445e-05,0.00027286,4.9366e-05,0.00018211
454,7.1726e-05,0.00025459,5.0526e-05,0.00016799
456,7.6654e-05,0.0002605,5.246e-05,0.00016622
458,8.3256e-05,0.00027131,5.5656e-05,0.00017313
460,9.3141e-05,0.0002855,6.0074e-05,0.00018186
462,0.00010429,0.00029949,6.6116e-05,0.00018902
464,0.00012027,0.0003123,7.4754e-05,0.0001985
466,0.00014049,0.00032664,8.8004e-05,0.00020619
468,0.00016795,0.00034379,0.0001056,0.00021183
470,0.00018662,0.00033521,0.00011909,0.00020267
472,0.0002052,0.00032058,0.00013081,0.00018907
474,0.00021969,0.00030148,0.00014137,0.00017586
476,0.00022553,0.00028019,0.00014673,0.00015931
478,0.0002357,0.0002636,0.00015606,0.00014777
480,0.00025583,0.00026175,0.00017321,0.00014178
482,0.00028066,0.00026845,0.0001915,0.00014309
484,0.00028879,0.00026898,0.0001979,0.00014208
486,0.00029183,0.00026452,0.00020064,0.00013922
488,0.00030449,0.0002672,0.00021038,0.00014062
490,0.00036176,0.00028195,0.00024231,0.00015059
492,0.00053347,0.00031139,0.0003347,0.00016817
494,0.00096838,0.00035497,0.00059404,0.00019725
496,0.0016542,0.00041452,0.0010703,0.00023447
498,0.0024652,0.00048748,0.0017154,0.00028904
500,0.0032187,0.00056434,0.002369,0.00034944
502,0.003787,0.00063529,0.0028752,0.0004041
504,0.0041483,0.00068809,0.0031906,0.0004478
506,0.0043359,0.00072844,0.003349,0.0004807
508,0.0043576,0.00076864,0.0033582,0.00050438
510,0.0041195,0.00077868,0.0031446,0.00050892
512,0.0034543,0.00076079,0.0026174,0.0004891
514,0.0023779,0.0007082,0.0018224,0.00044884
516,0.0012856,0.00065322,0.0010141,0.00040914
518,0.00057453,0.0006252,0.0004538,0.00038772
520,0.000323,0.00062225,0.00024143,0.00038994
522,0.0002623,0.00063596,0.00018871,0.00040068
524,0.00025137,0.00065751,0.00017726,0.00041288
526,0.00024919,0.00067418,0.00017506,0.00042524
528,0.00025032,0.00069601,0.00017523,0.00043882
530,0.00025287,0.00071996,0.0001757,0.0004519
532,0.00025464,0.00073752,0.00017701,0.00046316
534,0.00025647,0.00075815,0.00017869,0.00047416
536,0.00025904,0.00078315,0.00017937,0.0004859
538,0.00026115,0.00080881,0.00017973,0.0004985
540,0.00026634,0.00083875,0.00018034,0.00051204
542,0.00027007,0.00086719,0.00018114,0.00052952
544,0.0002727,0.00089386,0.00018173,0.00054622
546,0.00027673,0.00092735,0.00018212,0.00056314
548,0.00028068,0.00096277,0.00018194,0.00058238
550,0.00028303,0.0010006,0.00018192,0.00060388
552,0.00028663,0.0010537,0.00018217,0.0006373
554,0.00029123,0.0011825,0.00018247,0.00071632
556,0.00029375,0.0015423,0.00018227,0.00095648
558,0.000296,0.0024363,0.00018269,0.0015753
560,0.00029827,0.0040797,0.00018368,0.0027764
562,0.0003005,0.0064304,0.00018456,0.0045812
564,0.00030633,0.0095585,0.00018588,0.0070252
566,0.0003099,0.01282,0.00018886,0.0094634
568,0.0003133,0.016177,0.00019217,0.011859
570,0.00031917,0.019594,0.00019638,0.014199
572,0.00032641,0.022987,0.00020413,0.016389
574,0.00034212,0.026141,0.00022198,0.018326
576,0.00037896,0.02819,0.00026214,0.019753
578,0.00044651,0.028793,0.00032876,0.020563
580,0.00056336,0.028842,0.00043786,0.020974
582,0.00076185,0.02874,0.0006031,0.021067
584,0.0010645,0.028334,0.00083634,0.020908
586,0.0015247,0.027691,0.0011866,0.020457
588,0.0020489,0.027082,0.001572,0.019925
590,0.0026817,0.026159,0.0020135,0.019255
592,0.0034059,0.025174,0.0025103,0.0185
594,0.0042004,0.024108,0.0030472,0.01766
596,0.0050802,0.022515,0.0036404,0.016596
598,0.005705,0.020869,0.0040942,0.01548
600,0.0059831,0.018941,0.0043354,0.014147
602,0.0059508,0.016642,0.0043264,0.012511
604,0.0056845,0.014297,0.0040864,0.010638
606,0.005119,0.011629,0.0036224,0.008505
608,0.004382,0.0090382,0.0030582,0.0065594
610,0.0035814,0.006805,0.002442,0.0048436
612,0.0026357,0.0047103,0.0017829,0.003297
614,0.0016874,0.0028395,0.0011698,0.0020027
616,0.0010225,0.0015508,0.00071468,0.0010722
618,0.00080461,0.0010703,0.00054498,0.000682
620,0.00091761,0.0010672,0.00060614,0.00065588
622,0.0013444,0.0014,0.0008894,0.000881
624,0.0021032,0.0020327,0.0014326,0.001355
626,0.0032417,0.0030035,0.0022896,0.0021252
628,0.0044959,0.0040873,0.0032406,0.0029946
630,0.0057354,0.0051692,0.0041518,0.0038368
632,0.0069202,0.0062191,0.0050168,0.0046424
634,0.0079731,0.0071593,0.0057988,0.005369
636,0.0088238,0.0079227,0.0064662,0.0059712
638,0.0090709,0.0081607,0.006758,0.006196
640,0.0086666,0.0078244,0.006615,0.0060022
642,0.0077668,0.0070468,0.00606,0.005452
644,0.0066431,0.0060523,0.0052392,0.0047014
646,0.0052895,0.0048471,0.0041906,0.0037692
648,0.0041078,0.0037738,0.00327,0.0029468
650,0.0030293,0.0027937,0.0024145,0.0021692
652,0.0020562,0.0019,0.0016384,0.0014579
654,0.0012463,0.0011563,0.00099656,0.0008638
656,0.00070369,0.00066054,0.00055182,0.00044524
658,0.00050005,0.00047185,0.00037822,0.00028199
660,0.00042224,0.00039283,0.00031202,0.00021871
662,0.000397,0.00036538,0.00028742,0.00019402
664,0.00037958,0.00035207,0.00027242,0.00018243
