Wavelength [nm],Background nominal [44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.1225e-05,5.2436e-05,1.1023e-05,3.7659e-05
382,1.5793e-05,4.9256e-05,1.0484e-05,3.5368e-05
384,1.3481e-05,5.5622e-05,1.0978e-05,3.4229e-05
386,1.3445e-05,5.0749e-05,1.0218e-05,3.4602e-05
388,1.2934e-05,4.7501e-05,9.7156e-06,3.1342e-05
390,1.3543e-05,5.2161e-05,9.9638e-06,3.0578e-05
392,1.2273e-05,4.7466e-05,9.9672e-06,2.9987e-05
394,9.7442e-06,5.0478e-05,9.5776e-06,2.7673e-05
396,1.1639e-05,4.3629e-05,9.6528e-06,3.0693e-05
398,1.0502e-05,4.186e-05,1.1596e-05,3.1912e-05
400,8.6095e-06,3.51e-05,1.505e-05,3.64e-05
402,7.3321e-06,3.5848e-05,2.1426e-05,4.4302e-05
404,8.4196e-06,3.8778e-05,3.0918e-05,5.567e-05
406,9.6008e-06,4.708e-05,4.4122e-05,7.5984e-05
408,1.6906e-05,7.6417e-05,6.0932e-05,0.00010659
410,2.6199e-05,0.00012998,8.48e-05,0.00016824
412,4.8738e-05,0.00023601,0.00011754,0.00027568
414,7.0684e-05,0.00038748,0.00014545,0.0004124
416,9.1907e-05,0.0005806,0.00016357,0.00058668
418,0.00011374,0.00084728,0.00017606,0.00081494
420,0.00013356,0.0011733,0.00018554,0.0010955
422,0.00014838,0.0015334,0.00019309,0.0014058
424,0.0001538,0.0018926,0.00019651,0.0017333
426,0.00014489,0.002233,0.00018622,0.0020522
428,0.00011378,0.0024504,0.00015241,0.0022792
430,7.9916e-05,0.0025265,0.00010917,0.0023826
432,5.4451e-05,0.0024784,7.0202e-05,0.0023668
434,4.1828e-05,0.0023364,4.84e-05,0.0022572
436,3.6827e-05,0.0021195,4.0848e-05,0.002068
438,4.0148e-05,0.0018452,3.992e-05,0.0018107
440,4.2458e-05,0.0014855,4.119e-05,0.0014654
442,4.6348e-05,0.0010774,4.2832e-05,0.0010591
444,4.9628e-05,0.00074686,4.5408e-05,0.00073208
446,5.3704e-05,0.00052031,4.8072e-05,0.00050096
448,5.7697e-05,0.00038923,5.155e-05,0.0003607
450,6.3697e-05,0.00031404,5.6648e-05,0.00027938
452,6.7718e-05,0.00027359,6.0302e-05,0.00023112
454,7.077e-05,0.00025554,6.2474e-05,0.00021206
456,7.5077e-05,0.00026208,6.6054e-05,0.00021106
458,8.0362e-05,0.0002742,7.1522e-05,0.00021962
460,8.7823e-05,0.00029082,7.7678e-05,0.00023076
462,9.4919e-05,0.00030886,8.55e-05,0.00024254
464,0.00010486,0.0003277,9.656e-05,0.00025276
466,0.00011622,0.00035091,0.00011283,0.00026442
468,0.000131,0.00038074,0.00013643,0.00027356
470,0.00013743,0.00038439,0.00015475,0.00026398
472,0.00014377,0.000382,0.00016974,0.00024786
474,0.0001484,0.00037278,0.00018275,0.00023062
476,0.00015031,0.00035541,0.00019095,0.0002083
478,0.00015987,0.00033943,0.00020327,0.00019004
480,0.00018021,0.00033737,0.00022542,0.00018392
