Wavelength [nm],Background nominal [32 yrs],Modulation nominal [25% 32 yrs],Modulation nominal [50% 32 yrs],Modulation nominal [100% 32 yrs],Modulation nominal [200% 32 yrs],Modulation nominal [400% 32 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,5.2894e-06,6.5355e-06,7.7816e-06,1.0274e-05,1.5258e-05,2.5227e-05,6.547e-06,8.0756e-06,1.0606e-05,1.1848e-05,1.9497e-05,3.1886e-05
382,6.478e-06,7.6134e-06,8.7488e-06,1.102e-05,1.5561e-05,2.4644e-05,6.381e-06,7.902e-06,1.0484e-05,1.2189e-05,1.9809e-05,3.0551e-05
384,6.247e-06,7.4645e-06,8.6819e-06,1.1117e-05,1.5987e-05,2.5726e-05,6.6992e-06,7.4926e-06,1.0167e-05,1.1522e-05,1.9579e-05,2.9512e-05
386,4.8131e-06,6.069e-06,7.325e-06,9.8368e-06,1.4861e-05,2.4908e-05,6.3082e-06,7.5662e-06,1.0417e-05,1.104e-05,1.8645e-05,3.0278e-05
388,6.1717e-06,7.7308e-06,9.29e-06,1.2408e-05,1.8645e-05,3.1118e-05,6.3074e-06,6.9768e-06,9.8084e-06,1.1147e-05,1.8352e-05,2.9014e-05
390,6.7582e-06,8.3293e-06,9.9004e-06,1.3043e-05,1.9327e-05,3.1896e-05,5.8696e-06,7.2744e-06,9.551e-06,1.0899e-05,1.8087e-05,2.7095e-05
392,6.2508e-06,7.4689e-06,8.6871e-06,1.1123e-05,1.5996e-05,2.5741e-05,5.716e-06,7.3488e-06,9.2822e-06,1.0515e-05,1.6183e-05,2.7063e-05
394,4.8408e-06,6.1124e-06,7.384e-06,9.9273e-06,1.5014e-05,2.5187e-05,5.9262e-06,7.115e-06,9.3954e-06,1.0546e-05,1.7196e-05,2.6365e-05
396,6.3636e-06,7.282e-06,8.2005e-06,1.0037e-05,1.3711e-05,2.1059e-05,5.8382e-06,6.9828e-06,9.1004e-06,1.0481e-05,1.6217e-05,2.7085e-05
398,5.652e-06,6.7458e-06,7.8396e-06,1.0027e-05,1.4403e-05,2.3153e-05,6.1468e-06,6.4058e-06,8.8724e-06,9.365e-06,1.6256e-05,2.633e-05
