Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,5.3298e-06,6.5708e-06,7.8119e-06,1.0294e-05,1.5258e-05,2.5186e-05,7.5638e-06,6.8886e-06,1.0455e-05,1.3383e-05,1.8258e-05,3.2855e-05
382,6.5438e-06,7.671e-06,8.7982e-06,1.1053e-05,1.5561e-05,2.4579e-05,7.3156e-06,6.9748e-06,9.8734e-06,1.2863e-05,1.7673e-05,3.0901e-05
384,6.303e-06,7.5134e-06,8.7239e-06,1.1145e-05,1.5987e-05,2.567e-05,7.3598e-06,7.2028e-06,9.9028e-06,1.3056e-05,1.7637e-05,3.1171e-05
386,4.8415e-06,6.0939e-06,7.3463e-06,9.851e-06,1.4861e-05,2.488e-05,7.2894e-06,6.766e-06,9.7322e-06,1.3154e-05,1.8019e-05,3.1061e-05
388,6.2027e-06,7.758e-06,9.3132e-06,1.2424e-05,1.8645e-05,3.1087e-05,7.193e-06,7.0236e-06,8.9442e-06,1.3024e-05,1.7347e-05,2.7272e-05
390,6.8054e-06,8.3707e-06,9.9359e-06,1.3066e-05,1.9327e-05,3.1849e-05,6.9956e-06,7.102e-06,9.3216e-06,1.1777e-05,1.7664e-05,2.7944e-05
392,6.2914e-06,7.5045e-06,8.7176e-06,1.1144e-05,1.5996e-05,2.5701e-05,6.6426e-06,7.1494e-06,9.1262e-06,1.1618e-05,1.7345e-05,2.6963e-05
394,4.8702e-06,6.1382e-06,7.4061e-06,9.942e-06,1.5014e-05,2.5157e-05,6.371e-06,6.8078e-06,9.0214e-06,1.1306e-05,1.4904e-05,2.6096e-05
396,6.4307e-06,7.3407e-06,8.2508e-06,1.0071e-05,1.3711e-05,2.0992e-05,6.6942e-06,6.4878e-06,8.4534e-06,1.0378e-05,1.6386e-05,2.3843e-05
398,5.7016e-06,6.7892e-06,7.8769e-06,1.0052e-05,1.4403e-05,2.3104e-05,6.633e-06,6.9184e-06,8.0902e-06,9.9366e-06,1.6544e-05,2.117e-05
400,5.0162e-06,6.0434e-06,7.0707e-06,9.1252e-06,1.3234e-05,2.1452e-05,6.456e-06,7.5452e-06,8.5578e-06,1.0337e-05,1.6566e-05,2.1429e-05
402,6.4833e-06,7.597e-06,8.7106e-06,1.0938e-05,1.5392e-05,2.4301e-05,7.5698e-06,9.1094e-06,1.0253e-05,1.2354e-05,1.8322e-05,2.4882e-05
404,1.1056e-05,1.2554e-05,1.4052e-05,1.7048e-05,2.304e-05,3.5023e-05,1.1085e-05,1.3107e-05,1.4068e-05,1.7607e-05,2.539e-05,3.4392e-05
406,1.8867e-05,2.1383e-05,2.3899e-05,2.893e-05,3.8994e-05,5.9121e-05,1.8387e-05,2.1106e-05,2.3562e-05,2.8226e-05,3.9818e-05,5.7212e-05
408,3.2116e-05,3.6672e-05,4.1228e-05,5.034e-05,6.8564e-05,0.00010501,3.0214e-05,3.4876e-05,3.8144e-05,4.6724e-05,6.413e-05,9.9292e-05
410,4.9126e-05,5.7041e-05,6.4957e-05,8.0787e-05,0.00011245,0.00017577,4.5978e-05,5.384e-05,6.0102e-05,7.3726e-05,0.00010346,0.00016471
412,7.0712e-05,8.4813e-05,9.8914e-05,0.00012712,0.00018352,0.00029633,6.5018e-05,7.851e-05,8.9774e-05,0.00011392,0.00016345,0.0002727
414,8.9533e-05,0.00011133,0.00013313,0.00017673,0.00026393,0.00043832,8.3518e-05,0.00010474,0.00012279,0.00016166,0.0002376,0.00041172
416,0.00010947,0.00014104,0.00017262,0.00023577,0.00036208,0.0006147,0.00010155,0.00013213,0.00016021,0.00021712,0.0003298,0.00058738
418,0.00012777,0.00017159,0.00021541,0.00030305,0.00047832,0.00082887,0.00011875,0.00016133,0.00020166,0.00028208,0.00044098,0.00080576
420,0.00013957,0.00019682,0.00025406,0.00036856,0.00059754,0.0010555,0.00012842,0.00018404,0.00023832,0.00034448,0.00055514,0.0010308
422,0.00013871,0.00020838,0.00027806,0.00041742,0.00069613,0.0012536,0.00012475,0.00019169,0.00025818,0.00038848,0.00064706,0.001216
