Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,5.2184e-06,6.4734e-06,7.7283e-06,1.0238e-05,1.5258e-05,2.5298e-05,7.7506e-06,9.4406e-06,8.488e-06,1.1472e-05,1.8401e-05,3.3904e-05
382,6.3434e-06,7.4956e-06,8.6478e-06,1.0952e-05,1.5561e-05,2.4779e-05,7.1932e-06,8.4422e-06,8.1172e-06,1.1003e-05,1.7256e-05,3.1268e-05
384,6.1171e-06,7.3508e-06,8.5845e-06,1.1052e-05,1.5987e-05,2.5856e-05,7.0168e-06,8.3518e-06,8.1074e-06,1.1367e-05,1.7338e-05,3.0828e-05
386,4.7693e-06,6.0307e-06,7.2921e-06,9.8149e-06,1.4861e-05,2.4952e-05,6.8478e-06,8.7372e-06,8.1042e-06,1.116e-05,1.851e-05,2.9948e-05
388,6.1379e-06,7.7013e-06,9.2647e-06,1.2391e-05,1.8645e-05,3.1152e-05,7.5612e-06,8.782e-06,8.2196e-06,1.0705e-05,1.707e-05,2.7988e-05
390,6.696e-06,8.2748e-06,9.8537e-06,1.3012e-05,1.9327e-05,3.1958e-05,7.14e-06,8.6952e-06,8.17e-06,1.0465e-05,1.6991e-05,2.7586e-05
392,6.2102e-06,7.4335e-06,8.6567e-06,1.1103e-05,1.5996e-05,2.5782e-05,6.6966e-06,8.2934e-06,8.04e-06,9.922e-06,1.6693e-05,2.7613e-05
394,4.841e-06,6.1126e-06,7.3842e-06,9.9274e-06,1.5014e-05,2.5186e-05,6.5006e-06,7.8636e-06,8.684e-06,9.1956e-06,1.592e-05,2.6016e-05
396,6.2231e-06,7.1591e-06,8.0951e-06,9.9671e-06,1.3711e-05,2.1199e-05,6.6932e-06,7.5874e-06,8.0228e-06,8.8812e-06,1.5036e-05,2.3709e-05
398,5.564e-06,6.6688e-06,7.7736e-06,9.9833e-06,1.4403e-05,2.3241e-05,6.2762e-06,7.7588e-06,8.2838e-06,8.7918e-06,1.4268e-05,2.3662e-05
400,4.9156e-06,5.9554e-06,6.9952e-06,9.0749e-06,1.3234e-05,2.1553e-05,6.3864e-06,7.963e-06,8.609e-06,9.4954e-06,1.5944e-05,2.5701e-05
402,6.3866e-06,7.5123e-06,8.638e-06,1.0889e-05,1.5392e-05,2.4398e-05,7.3096e-06,9.2126e-06,9.9284e-06,1.1221e-05,1.6615e-05,2.7728e-05
404,1.0867e-05,1.2389e-05,1.391e-05,1.6953e-05,2.304e-05,3.5213e-05,1.0692e-05,1.2711e-05,1.4195e-05,1.6149e-05,2.2641e-05,3.7374e-05
406,1.8682e-05,2.1221e-05,2.376e-05,2.8838e-05,3.8994e-05,5.9306e-05,1.7786e-05,2.0509e-05,2.3105e-05,2.6258e-05,3.6656e-05,5.8814e-05
408,3.1708e-05,3.6315e-05,4.0922e-05,5.0136e-05,6.8564e-05,0.00010542,2.88e-05,3.3764e-05,3.7882e-05,4.4762e-05,6.143e-05,9.732e-05
410,4.8301e-05,5.632e-05,6.4338e-05,8.0375e-05,0.00011245,0.0001766,4.4352e-05,5.1784e-05,5.8668e-05,7.2054e-05,9.9918e-05,0.00016271
412,6.8721e-05,8.307e-05,9.742e-05,0.00012612,0.00018352,0.00029832,6.254e-05,7.579e-05,8.7592e-05,0.00011043,0.00015947,0.00026582
414,8.5854e-05,0.00010811,0.00013037,0.00017489,0.00026393,0.000442,7.9884e-05,9.999e-05,0.0001194,0.00015545,0.00023102,0.0003993
416,0.00010356,0.00013588,0.00016819,0.00023282,0.00036208,0.0006206,9.6926e-05,0.00012591,0.00015435,0.00020798,0.00031932,0.00056666
418,0.00011923,0.00016411,0.000209,0.00029877,0.00047832,0.00083741,0.00011314,0.00015306,0.00019264,0.00026958,0.00042576,0.00077054
420,0.00012817,0.00018684,0.00024551,0.00036285,0.00059754,0.0010669,0.00012298,0.00017463,0.0002268,0.00032854,0.00053618,0.00098302
422,0.00012439,0.00019586,0.00026732,0.00041026,0.00069613,0.0012679,0.00012033,0.00018265,0.0002464,0.0003696,0.00062418,0.001159
