Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,6.7538e-06,7.5338e-06,8.3138e-06,9.8739e-06,1.2994e-05,1.9234e-05,6.2434e-06,5.8551e-06,7.1432e-06,1.1148e-05,1.2761e-05,2.3051e-05
382,4.8585e-06,5.6617e-06,6.4649e-06,8.0713e-06,1.1284e-05,1.771e-05,6.0944e-06,6.3318e-06,7.9473e-06,1.0385e-05,1.3277e-05,2.2618e-05
384,5.8797e-06,6.7686e-06,7.6574e-06,9.4352e-06,1.2991e-05,2.0102e-05,5.3112e-06,6.0306e-06,7.2161e-06,1.109e-05,1.3206e-05,2.4495e-05
386,5.2636e-06,5.983e-06,6.7024e-06,8.1413e-06,1.1019e-05,1.6774e-05,5.686e-06,7.0138e-06,6.8898e-06,1.1098e-05,1.2965e-05,2.2556e-05
388,5.9959e-06,6.9087e-06,7.8215e-06,9.6472e-06,1.3299e-05,2.0601e-05,6.6871e-06,6.8002e-06,7.1938e-06,1.0944e-05,1.1959e-05,2.2676e-05
390,6.0422e-06,6.8872e-06,7.7321e-06,9.422e-06,1.2802e-05,1.9561e-05,5.9201e-06,6.38e-06,6.8618e-06,1.1343e-05,1.2825e-05,2.2102e-05
392,6.6002e-06,7.4197e-06,8.2393e-06,9.8784e-06,1.3157e-05,1.9713e-05,5.2595e-06,5.7938e-06,6.7917e-06,1.1126e-05,1.2607e-05,2.1747e-05
394,6.4278e-06,7.0769e-06,7.726e-06,9.0243e-06,1.1621e-05,1.6814e-05,5.5387e-06,6.0881e-06,6.1324e-06,1.0084e-05,1.2728e-05,2.0624e-05
396,6.4025e-06,7.3118e-06,8.2211e-06,1.004e-05,1.3677e-05,2.0952e-05,5.6564e-06,5.5353e-06,7.9118e-06,9.642e-06,1.2218e-05,1.9741e-05
398,5.6956e-06,6.867e-06,8.0385e-06,1.0381e-05,1.5067e-05,2.4439e-05,4.446e-06,5.5853e-06,6.9036e-06,8.6028e-06,1.2364e-05,2.0849e-05
400,5.8817e-06,6.908e-06,7.9344e-06,9.9871e-06,1.4093e-05,2.2303e-05,4.4469e-06,5.6915e-06,6.438e-06,9.4922e-06,1.2663e-05,1.9074e-05
402,6.2742e-06,7.3284e-06,8.3825e-06,1.0491e-05,1.4707e-05,2.314e-05,4.5403e-06,6.8872e-06,7.023e-06,9.2788e-06,1.192e-05,1.8777e-05
404,6.9691e-06,8.2198e-06,9.4704e-06,1.1972e-05,1.6974e-05,2.6979e-05,4.9408e-06,6.5446e-06,6.7182e-06,9.8662e-06,1.2622e-05,1.9646e-05
406,7.9329e-06,9.3027e-06,1.0672e-05,1.3412e-05,1.8891e-05,2.9849e-05,5.6662e-06,6.9892e-06,7.8422e-06,1.1138e-05,1.4293e-05,2.2454e-05
408,1.0396e-05,1.2472e-05,1.4547e-05,1.8699e-05,2.7002e-05,4.3608e-05,8.1504e-06,9.8174e-06,1.0752e-05,1.4907e-05,2.0231e-05,3.0712e-05
410,1.562e-05,1.9282e-05,2.2944e-05,3.0268e-05,4.4915e-05,7.4209e-05,1.3192e-05,1.7186e-05,1.9611e-05,2.5506e-05,3.6194e-05,5.7358e-05
412,2.7426e-05,3.4155e-05,4.0884e-05,5.4342e-05,8.1258e-05,0.00013509,2.4512e-05,3.192e-05,3.5708e-05,4.6834e-05,6.9008e-05,0.00011116
414,3.8698e-05,4.9486e-05,6.0273e-05,8.1849e-05,0.000125,0.0002113,3.8216e-05,4.9128e-05,5.8004e-05,7.723e-05,0.0001158,0.00019356
416,5.0429e-05,6.7313e-05,8.4197e-05,0.00011797,0.0001855,0.00032057,5.2358e-05,6.9018e-05,8.4632e-05,0.00011523,0.00017712,0.00030446
418,6.2705e-05,8.8266e-05,0.00011383,0.00016495,0.0002672,0.00047169,6.6072e-05,9.1246e-05,0.00011515,0.00016227,0.00025656,0.00045454
420,7.3941e-05,0.00011016,0.00014637,0.00021881,0.00036367,0.00065341,7.8652e-05,0.00011468,0.00014926,0.00021728,0.00035312,0.0006377
422,8.2775e-05,0.00013108,0.00017939,0.000276,0.00046922,0.00085567,8.9502e-05,0.0001381,0.00018498,0.0002765,0.00046094,0.00084756
