Wavelength [nm],Background nominal [32 yrs],Modulation nominal [400% 32 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.9481e-05,2.7858e-05,2.1522e-05,2.6061e-05
382,1.8635e-05,3.6199e-05,1.8691e-05,2.732e-05
384,2.482e-05,3.0074e-05,1.7382e-05,2.5599e-05
386,2.2319e-05,3.0038e-05,1.5155e-05,2.6517e-05
388,1.8357e-05,2.9322e-05,1.5061e-05,2.6586e-05
390,1.9789e-05,2.8199e-05,1.447e-05,2.6974e-05
392,1.8846e-05,2.4069e-05,1.5395e-05,2.5132e-05
394,1.6918e-05,2.612e-05,1.6844e-05,2.5089e-05
396,1.5809e-05,2.9072e-05,1.5393e-05,2.4373e-05
398,1.5726e-05,2.4189e-05,1.3615e-05,2.6428e-05
400,1.6632e-05,2.3103e-05,1.8319e-05,2.944e-05
402,1.6237e-05,2.0541e-05,2.6509e-05,3.6644e-05
404,1.7177e-05,2.3245e-05,3.5466e-05,4.4072e-05
406,1.7766e-05,2.1262e-05,4.971e-05,5.3668e-05
408,2.1775e-05,2.5369e-05,6.483e-05,6.4678e-05
410,2.5179e-05,2.5539e-05,8.4888e-05,7.6168e-05
412,4.3185e-05,3.5313e-05,0.00010391,8.8224e-05
414,8.339e-05,5.5562e-05,0.00013711,0.00010156
416,0.00014948,8.8578e-05,0.00019435,0.00012342
418,0.00026055,0.00013879,0.0002902,0.00015909
420,0.00040461,0.00020179,0.0004169,0.00020824
422,0.00056526,0.00026113,0.00055682,0.00025444
424,0.00072698,0.00031333,0.0006976,0.0002932
426,0.00089365,0.00035876,0.00084826,0.00032644
428,0.0010334,0.00039025,0.00098056,0.00035666
430,0.0010954,0.00039137,0.0010553,0.00036666
432,0.0010695,0.00036159,0.001042,0.00033872
434,0.00095878,0.00029329,0.00094164,0.0002714
436,0.00079938,0.0002062,0.00078406,0.00018451
438,0.00062968,0.00013526,0.00061032,0.00011278
440,0.00046143,9.6199e-05,0.00044108,7.2088e-05
442,0.0003154,8.2956e-05,0.00028828,5.9182e-05
444,0.00021478,8.3998e-05,0.00019321,5.8388e-05
446,0.00016633,9.0679e-05,0.00014722,6.0596e-05
448,0.00015712,9.6627e-05,0.00013683,6.596e-05
