Wavelength [nm],Background nominal [28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.943e-05,2.7909e-05,2.4309e-05,2.4776e-05
382,1.8524e-05,3.6309e-05,2.0618e-05,2.4294e-05
384,2.4841e-05,3.0053e-05,2.1783e-05,2.4416e-05
386,2.2321e-05,3.0036e-05,2.1518e-05,2.451e-05
388,1.8328e-05,2.9351e-05,1.931e-05,2.4506e-05
390,1.9768e-05,2.822e-05,1.803e-05,2.3247e-05
392,1.8814e-05,2.41e-05,1.7639e-05,2.3996e-05
394,1.6878e-05,2.616e-05,1.6287e-05,2.436e-05
396,1.5673e-05,2.9208e-05,1.7404e-05,2.5204e-05
398,1.565e-05,2.4265e-05,1.7638e-05,2.5308e-05
400,1.6569e-05,2.3166e-05,2.1934e-05,2.9812e-05
402,1.6211e-05,2.0567e-05,2.8591e-05,3.5948e-05
404,1.7098e-05,2.3324e-05,4.132e-05,4.4054e-05
406,1.7685e-05,2.1343e-05,5.2882e-05,5.4368e-05
408,2.176e-05,2.5385e-05,6.7482e-05,6.6574e-05
410,2.5205e-05,2.5512e-05,8.638e-05,8.0254e-05
412,4.3403e-05,3.5095e-05,0.00010808,9.0882e-05
414,8.4164e-05,5.4789e-05,0.00013819,0.00010439
416,0.00015121,8.6848e-05,0.00018912,0.00012377
418,0.00026384,0.00013549,0.0002783,0.00015836
420,0.00040977,0.00019662,0.00040428,0.00020624
422,0.00057223,0.00025416,0.00054704,0.00025686
424,0.00073542,0.00030488,0.00069794,0.00030164
426,0.00090332,0.00034908,0.00085672,0.0003408
428,0.0010439,0.00037974,0.000999,0.00037074
430,0.001106,0.00038085,0.0010869,0.00038422
432,0.0010789,0.00035218,0.0010885,0.00036246
434,0.00096598,0.00028609,0.00099798,0.00029956
436,0.00080386,0.00020171,0.00084086,0.00020959
438,0.0006318,0.00013314,0.00066026,0.00012871
440,0.00046215,9.5484e-05,0.00048264,8.0418e-05
442,0.00031558,8.2783e-05,0.0003217,6.2786e-05
444,0.00021478,8.3996e-05,0.00021724,6.1462e-05
446,0.00016622,9.0797e-05,0.00016045,6.3116e-05
448,0.00015673,9.701e-05,0.00014482,6.654e-05
450,0.0001633,0.00010904,0.00014961,7.2164e-05
452,0.00016924,0.00011698,0.00015651,7.7568e-05
454,0.00016729,0.00012373,0.00015851,8.0438e-05
456,0.00016901,0.00014098,0.00016417,8.7332e-05
458,0.00017169,0.0001571,0.00017093,9.8352e-05
460,0.0001752,0.00017845,0.00017594,0.00011259
462,0.00017749,0.00020531,0.00017828,0.00013285
464,0.00017616,0.00023521,0.00017846,0.00015614
466,0.00017721,0.00026963,0.00017832,0.00018581
468,0.0001797,0.00030818,0.00017635,0.00022374
470,0.00017542,0.00032567,0.00016326,0.0002489
472,0.00016809,0.00033897,0.00014986,0.0002677
474,0.00016088,0.00034479,0.00013626,0.00028
476,0.00015294,0.00033608,0.00012351,0.00028026
478,0.00015095,0.00033957,0.0001171,0.000284
480,0.00015247,0.00035524,0.00012082,0.00030078
482,0.00016079,0.00038517,0.00012802,0.0003225
484,0.00016548,0.00040004,0.00012831,0.0003332
486,0.00016199,0.00040503,0.00012606,0.00033984
488,0.00016301,0.00042907,0.00012665,0.00036178
490,0.00016917,0.00052168,0.00013228,0.00043684
492,0.00018039,0.00079025,0.00013979,0.00065826
494,0.00018219,0.001472,0.00014412,0.0012425
496,0.00018486,0.0025838,0.00014532,0.0022382
498,0.00019617,0.0040168,0.00015595,0.0035846
500,0.00022615,0.0056233,0.00017978,0.0051272
502,0.00027387,0.0072557,0.00021918,0.0067066
504,0.00033418,0.0087594,0.00027104,0.0082156
506,0.00038906,0.0099893,0.00032592,0.009567
508,0.00043901,0.0107,0.00036986,0.010442
510,0.00047054,0.010744,0.0004019,0.010628
512,0.00049915,0.0099721,0.00042834,0.010017
514,0.00052251,0.0084197,0.0004515,0.008636
516,0.00053514,0.0065743,0.00046178,0.0067968
518,0.00052055,0.004717,0.00045062,0.0047594
520,0.00047424,0.003004,0.00041824,0.00298
522,0.00043711,0.0016796,0.00039312,0.0016683
524,0.00043064,0.00092804,0.00039012,0.00087842
526,0.00044413,0.00062063,0.000405,0.00053664
528,0.00047284,0.00052402,0.00042902,0.00042658
530,0.0005057,0.00049403,0.00045388,0.00038894
532,0.00052822,0.00047942,0.0004756,0.0003699
534,0.00054866,0.00047119,0.00049354,0.00035988
536,0.00056662,0.00046794,0.00050826,0.00035254
538,0.00058272,0.00046887,0.00051908,0.00034786
540,0.00059879,0.00047407,0.0005303,0.00034568
542,0.00061379,0.00047931,0.00054298,0.0003453
544,0.00062726,0.00048396,0.00055286,0.00034478
546,0.00064413,0.0004903,0.00056266,0.00034524
548,0.00065995,0.00049656,0.00057246,0.00034478
550,0.00067584,0.00050067,0.00058142,0.00034498
552,0.00069196,0.00050646,0.00059168,0.00034392
554,0.00071138,0.00051318,0.00060358,0.00034522
556,0.00072673,0.00051896,0.00061502,0.00034546
558,0.00074752,0.00052417,0.0006292,0.00034734
560,0.00076608,0.0005282,0.00064604,0.00034922
562,0.00079196,0.00053501,0.00066726,0.00035194
