Wavelength [nm],Background nominal [44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.9743e-05,2.7596e-05,2.1508e-05,2.272e-05
382,1.8943e-05,3.589e-05,2.1252e-05,2.0285e-05
384,2.4876e-05,3.0018e-05,1.8825e-05,2.287e-05
386,2.2468e-05,2.9888e-05,2.0173e-05,2.23e-05
388,1.8606e-05,2.9073e-05,2.0328e-05,2.1544e-05
390,1.9986e-05,2.8002e-05,1.8157e-05,2.1717e-05
392,1.9004e-05,2.3911e-05,1.7728e-05,2.0688e-05
394,1.7264e-05,2.5774e-05,1.9147e-05,2.0533e-05
396,1.6192e-05,2.8688e-05,1.8194e-05,2.2461e-05
398,1.5972e-05,2.3943e-05,1.8904e-05,2.3968e-05
400,1.6858e-05,2.2877e-05,2.3569e-05,2.712e-05
402,1.6416e-05,2.0363e-05,2.9316e-05,3.4086e-05
404,1.754e-05,2.2882e-05,3.8918e-05,4.1618e-05
406,1.806e-05,2.0968e-05,5.2534e-05,5.2e-05
408,2.1962e-05,2.5182e-05,6.6688e-05,6.4012e-05
410,2.5411e-05,2.5306e-05,8.4488e-05,7.7866e-05
412,4.3433e-05,3.5065e-05,0.00010758,9.235e-05
414,8.3586e-05,5.5367e-05,0.00013708,0.00010552
416,0.00014983,8.8231e-05,0.00018664,0.00012308
418,0.000261,0.00013834,0.00027538,0.00015494
420,0.00040516,0.00020124,0.00039978,0.00020308
422,0.00056585,0.00026054,0.00054124,0.00025328
424,0.00072766,0.00031264,0.00068646,0.00029852
426,0.00089449,0.00035792,0.0008393,0.00033532
428,0.0010343,0.00038935,0.00097686,0.0003651
430,0.0010964,0.00039045,0.0010658,0.00037882
432,0.0010704,0.00036066,0.0010657,0.0003564
434,0.00095959,0.00029248,0.00097122,0.000293
436,0.0008,0.00020558,0.0008133,0.00020595
438,0.00063019,0.00013476,0.00063772,0.00012775
440,0.00046191,9.5718e-05,0.00046876,8.0596e-05
442,0.00031582,8.2535e-05,0.00031548,6.3166e-05
444,0.00021531,8.3468e-05,0.00021342,6.136e-05
446,0.00016694,9.0076e-05,0.00015871,6.4602e-05
448,0.00015769,9.6054e-05,0.00014464,6.8628e-05
450,0.00016542,0.00010692,0.00015072,7.4926e-05
452,0.0001735,0.00011271,0.00015749,8.0112e-05
454,0.00017578,0.00011524,0.00016076,8.3232e-05
456,0.00018431,0.00012568,0.00016669,8.9908e-05
458,0.00019585,0.00013294,0.00017208,0.00010045
460,0.00021,0.00014365,0.00017495,0.0001145
462,0.00022449,0.00015832,0.00017638,0.00013414
464,0.00023478,0.00017658,0.00017504,0.00015834
466,0.0002458,0.00020103,0.00017419,0.0001875
468,0.00025511,0.00023277,0.00017394,0.00022256
470,0.00024791,0.00025318,0.0001626,0.00024262
472,0.00023177,0.00027529,0.0001492,0.0002588
474,0.00021273,0.00029295,0.00013457,0.00026824
476,0.00019025,0.00029877,0.00012107,0.0002672
478,0.00017406,0.00031645,0.00011676,0.00026976
480,0.00016433,0.00034337,0.00011944,0.00028756
482,0.00016601,0.00037995,0.00012413,0.00030908
484,0.00016825,0.00039726,0.00012505,0.00032008
486,0.00016403,0.00040299,0.00012361,0.00032612
488,0.00016479,0.00042729,0.00012494,0.00034726
490,0.0001708,0.00052004,0.00013076,0.00041866
492,0.00018191,0.00078874,0.00013885,0.0006284
494,0.00018361,0.0014706,0.00014205,0.0011985
496,0.00018519,0.0025835,0.00014492,0.0022026
498,0.00019273,0.0040203,0.00015393,0.0035706
500,0.00021394,0.0056355,0.00017691,0.0051152
502,0.00024718,0.0072824,0.00021572,0.0066632
504,0.0002897,0.0088038,0.00026538,0.0081182
506,0.00032828,0.01005,0.00032082,0.009408
508,0.00036877,0.01077,0.00036668,0.010211
510,0.00039713,0.010818,0.00040056,0.010331
512,0.00042662,0.010045,0.00042618,0.0096894
514,0.00045464,0.0084876,0.00044694,0.0083186
516,0.00047675,0.0066327,0.00045892,0.0065158
518,0.00048249,0.0047551,0.00044508,0.0045516
520,0.00046554,0.0030127,0.00041264,0.0028658
522,0.00045371,0.001663,0.0003842,0.0016217
524,0.00046002,0.00089866,0.0003795,0.00086446
526,0.00047483,0.00058994,0.00039406,0.00053248
528,0.00049961,0.00049726,0.00041728,0.00042364
530,0.00052642,0.00047332,0.00044408,0.00038622
532,0.00054226,0.00046538,0.00046436,0.00036822
534,0.00055744,0.00046242,0.00048164,0.00035672
536,0.00057223,0.00046232,0.00049512,0.00034962
538,0.00058668,0.0004649,0.00050624,0.00034512
540,0.00060202,0.00047084,0.0005157,0.0003435
542,0.00061677,0.00047634,0.00052762,0.00034268
544,0.00063023,0.00048099,0.00053742,0.00034176
546,0.00064707,0.00048736,0.00054492,0.00034052
548,0.00066293,0.00049359,0.00055284,0.00033986
550,0.00067888,0.00049763,0.00056094,0.0003394
552,0.00069499,0.00050344,0.00056888,0.00033946
554,0.00071432,0.00051024,0.00057902,0.00033936
556,0.0007296,0.0005161,0.00058938,0.00033994
558,0.00075021,0.00052147,0.00060084,0.00034176
560,0.00076859,0.0005257,0.00061516,0.0003443
562,0.00079413,0.00053284,0.00063408,0.00034728
564,0.00084278,0.00054192,0.0006734,0.0003498
566,0.0009825,0.00055119,0.0007876,0.00035636
568,0.0014196,0.00056611,0.0011491,0.0003675
570,0.002458,0.00058667,0.0020274,0.00038596
572,0.0042755,0.00062499,0.0036296,0.00041492
574,0.0068645,0.00070416,0.0060326,0.00047192
576,0.009915,0.00087335,0.0089,0.00058234
578,0.012891,0.0011513,0.011591,0.00075372
580,0.015829,0.0015823,0.014159,0.0010367
582,0.018552,0.0022258,0.016471,0.0014983
584,0.020885,0.0030833,0.018402,0.0021842
586,0.02232,0.0040815,0.019823,0.003111
588,0.021819,0.0047808,0.020173,0.0038302
590,0.019727,0.0052218,0.019296,0.0042672
592,0.01697,0.0054096,0.017082,0.004412
594,0.014025,0.0053459,0.013988,0.0043494
596,0.010569,0.0049885,0.010362,0.0040894
598,0.0076996,0.0043931,0.0074092,0.0036298
600,0.0052735,0.0035198,0.0050084,0.0029506
602,0.0031703,0.0026369,0.0030728,0.0022442
604,0.001687,0.0023146,0.0016686,0.0019166
606,0.00090197,0.0030449,0.0008446,0.0024668
608,0.00066503,0.0046234,0.00055748,0.003926
610,0.00064179,0.0066025,0.00048942,0.0058816
612,0.00072925,0.0088645,0.00050506,0.0080824
614,0.0008905,0.011294,0.00057176,0.01035
616,0.0011286,0.013939,0.0006897,0.012717
618,0.0014187,0.016379,0.00085274,0.014806
620,0.0017363,0.018312,0.0010551,0.016467
622,0.002097,0.019509,0.0013054,0.017715
624,0.0024932,0.019862,0.0015906,0.018506
626,0.0029337,0.019666,0.0019424,0.018869
628,0.0033362,0.019161,0.0023122,0.018761
630,0.0036967,0.018436,0.002677,0.018295
632,0.0040474,0.017634,0.0030514,0.017578
634,0.0043844,0.016814,0.003426,0.016735
636,0.0047289,0.015853,0.00383,0.015758
638,0.005042,0.015033,0.004192,0.014913
640,0.0053235,0.014343,0.0045258,0.014206
642,0.0055829,0.013694,0.0048394,0.01358
644,0.0058334,0.013148,0.0051504,0.013055
646,0.0060808,0.012598,0.0054678,0.012535
648,0.0062084,0.012056,0.0056676,0.012051
650,0.0061283,0.011307,0.0056754,0.011371
652,0.005751,0.010207,0.0054068,0.010345
654,0.0051356,0.008836,0.0048904,0.0090184
656,0.0043308,0.0072556,0.0041642,0.0074354
658,0.0035746,0.0058954,0.0034692,0.0060542
660,0.0028142,0.0045953,0.0027568,0.0047354
662,0.0020695,0.0033925,0.0020441,0.003497
664,0.0013276,0.0022345,0.0013195,0.0023098
666,0.00074441,0.0013464,0.00072602,0.0013649
668,0.00043547,0.00088285,0.00039486,0.00083822
670,0.00030095,0.00067756,0.00024364,0.00059136
672,0.00025413,0.00060263,0.00018647,0.00049372
674,0.00024087,0.00055954,0.00016521,0.00044774
676,0.00023407,0.00054701,0.00015657,0.0004168
678,0.00023052,0.00052668,0.00015092,0.0003946
680,0.00023454,0.00051215,0.0001468,0.00037356
682,0.00023287,0.00050326,0.00014354,0.00035954
684,0.00023068,0.00048183,0.00014146,0.00033676
686,0.00024021,0.00046353,0.00014294,0.00031004
688,0.00023916,0.00043384,0.00014293,0.00028144
690,0.00024004,0.00039739,0.00014152,0.00025394
692,0.00024609,0.00036856,0.00014597,0.00022504
694,0.00024037,0.00032671,0.00014356,0.00019628
696,0.00023563,0.00029729,0.00014917,0.00017481
698,0.0002395,0.00027894,0.00015124,0.00015766
700,0.00024379,0.00025586,0.00015756,0.00014302
702,0.00024169,0.00024141,0.00015637,0.00013114
