Wavelength [nm],Background nominal [29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.9443e-05,2.7897e-05,2.0421e-05,2.4886e-05
382,1.8552e-05,3.6281e-05,1.9536e-05,2.471e-05
384,2.4836e-05,3.0058e-05,2.0985e-05,2.4793e-05
386,2.232e-05,3.0036e-05,1.9189e-05,2.6693e-05
388,1.8335e-05,2.9344e-05,1.8488e-05,2.5417e-05
390,1.9773e-05,2.8215e-05,1.881e-05,2.556e-05
392,1.8822e-05,2.4092e-05,1.8137e-05,2.4914e-05
394,1.6888e-05,2.615e-05,1.7805e-05,2.5995e-05
396,1.5707e-05,2.9174e-05,1.6943e-05,2.7256e-05
398,1.5669e-05,2.4246e-05,1.9468e-05,2.6534e-05
400,1.6585e-05,2.315e-05,2.0869e-05,2.8855e-05
402,1.6217e-05,2.0561e-05,2.8113e-05,3.609e-05
404,1.7118e-05,2.3304e-05,3.8846e-05,4.5018e-05
406,1.7706e-05,2.1323e-05,5.119e-05,5.4704e-05
408,2.1763e-05,2.5381e-05,6.254e-05,6.4762e-05
410,2.5198e-05,2.552e-05,8.205e-05,7.6732e-05
412,4.3346e-05,3.5151e-05,0.0001025,8.8852e-05
414,8.3966e-05,5.4987e-05,0.00013095,0.00010164
416,0.00015077,8.7292e-05,0.00017622,0.00011802
418,0.000263,0.00013634,0.00025994,0.0001488
420,0.00040845,0.00019795,0.00037696,0.00019361
422,0.00057045,0.00025595,0.0005113,0.00024014
424,0.00073326,0.00030704,0.00065278,0.00028148
426,0.00090084,0.00035156,0.0008049,0.00031916
428,0.0010412,0.00038243,0.0009411,0.00034938
430,0.0011033,0.00038355,0.0010263,0.0003631
432,0.0010765,0.0003546,0.0010304,0.0003424
434,0.00096414,0.00028793,0.00094742,0.00028284
436,0.00080271,0.00020286,0.0008016,0.00019909
438,0.00063126,0.00013369,0.00063332,0.00012311
440,0.00046196,9.5668e-05,0.0004653,7.6156e-05
442,0.00031553,8.2828e-05,0.00031236,5.9884e-05
444,0.00021478,8.3997e-05,0.00020965,5.9446e-05
446,0.00016625,9.0767e-05,0.00015456,6.0708e-05
448,0.00015683,9.6913e-05,0.00013992,6.442e-05
450,0.00016362,0.00010872,0.00014458,7.0074e-05
452,0.00017005,0.00011617,0.00015003,7.3884e-05
454,0.00016898,0.00012204,0.00015282,7.6896e-05
