Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,9.7344e-06,9.7264e-06,9.7183e-06,9.7022e-06,9.67e-06,9.6055e-06,1.5033e-05,1.8825e-05,1.9206e-05,1.519e-05,1.9422e-05,1.875e-05
382,8.3642e-06,8.4474e-06,8.5305e-06,8.6968e-06,9.0295e-06,9.6947e-06,1.4412e-05,1.9255e-05,1.6822e-05,1.6919e-05,1.9609e-05,1.9151e-05
384,9.1064e-06,9.4332e-06,9.76e-06,1.0414e-05,1.1721e-05,1.4335e-05,1.3464e-05,1.8019e-05,1.8177e-05,1.5954e-05,1.8086e-05,1.844e-05
386,1.0743e-05,1.0939e-05,1.1135e-05,1.1528e-05,1.2312e-05,1.3881e-05,1.4363e-05,1.7498e-05,1.6999e-05,1.5583e-05,1.8345e-05,1.7503e-05
388,1.3816e-05,1.3737e-05,1.3657e-05,1.3499e-05,1.3182e-05,1.2549e-05,1.3606e-05,1.7901e-05,1.7386e-05,1.5968e-05,1.7762e-05,1.8911e-05
390,1.3006e-05,1.2976e-05,1.2947e-05,1.2887e-05,1.2769e-05,1.2531e-05,1.2989e-05,1.735e-05,1.5662e-05,1.5604e-05,1.7587e-05,1.9265e-05
392,1.1885e-05,1.2051e-05,1.2216e-05,1.2546e-05,1.3206e-05,1.4526e-05,1.3245e-05,1.7246e-05,1.4241e-05,1.572e-05,1.7964e-05,2.023e-05
394,1.2474e-05,1.2305e-05,1.2137e-05,1.18e-05,1.1127e-05,9.7797e-06,1.1746e-05,1.6612e-05,1.5191e-05,1.588e-05,1.6608e-05,1.9478e-05
396,8.0964e-06,8.2881e-06,8.4798e-06,8.8631e-06,9.6297e-06,1.1163e-05,1.1969e-05,1.8523e-05,1.5149e-05,1.4733e-05,1.7461e-05,1.9856e-05
398,1.0401e-05,1.0631e-05,1.0862e-05,1.1322e-05,1.2244e-05,1.4087e-05,1.2878e-05,1.7088e-05,1.4155e-05,1.4575e-05,1.7126e-05,2.1671e-05
400,1.0512e-05,1.075e-05,1.0989e-05,1.1467e-05,1.2422e-05,1.4332e-05,1.2566e-05,1.67e-05,1.3812e-05,1.4536e-05,1.6267e-05,2.0409e-05
