Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,9.7426e-06,9.7335e-06,9.7244e-06,9.7063e-06,9.67e-06,9.5974e-06,1.4205e-05,1.3404e-05,2.0254e-05,1.6868e-05,1.8913e-05,2.129e-05
382,8.3733e-06,8.4553e-06,8.5373e-06,8.7014e-06,9.0295e-06,9.6856e-06,1.3509e-05,1.4158e-05,1.8036e-05,1.7098e-05,1.776e-05,2.2108e-05
384,9.1215e-06,9.4464e-06,9.7713e-06,1.0421e-05,1.1721e-05,1.432e-05,1.1863e-05,1.4258e-05,1.5854e-05,1.5618e-05,1.7909e-05,2.1174e-05
386,1.0759e-05,1.0953e-05,1.1147e-05,1.1535e-05,1.2312e-05,1.3865e-05,1.256e-05,1.3733e-05,1.5923e-05,1.5549e-05,1.6934e-05,2.133e-05
388,1.3822e-05,1.3742e-05,1.3662e-05,1.3502e-05,1.3182e-05,1.2542e-05,1.2978e-05,1.296e-05,1.4552e-05,1.5351e-05,1.7188e-05,2.0492e-05
390,1.3014e-05,1.2983e-05,1.2953e-05,1.2891e-05,1.2769e-05,1.2523e-05,1.2869e-05,1.4102e-05,1.4055e-05,1.4353e-05,1.6926e-05,2.0226e-05
392,1.1901e-05,1.2064e-05,1.2227e-05,1.2554e-05,1.3206e-05,1.451e-05,1.149e-05,1.3441e-05,1.3593e-05,1.3816e-05,1.8106e-05,2.1008e-05
394,1.2485e-05,1.2315e-05,1.2145e-05,1.1806e-05,1.1127e-05,9.7687e-06,1.0398e-05,1.39e-05,1.2716e-05,1.4435e-05,1.7633e-05,1.9581e-05
396,8.1161e-06,8.3053e-06,8.4945e-06,8.8729e-06,9.6297e-06,1.1143e-05,9.6682e-06,1.442e-05,1.1934e-05,1.4748e-05,1.7017e-05,2.1503e-05
398,1.0422e-05,1.0649e-05,1.0877e-05,1.1333e-05,1.2244e-05,1.4066e-05,9.966e-06,1.3999e-05,1.3095e-05,1.2603e-05,1.7275e-05,2.0967e-05
400,1.0531e-05,1.0768e-05,1.1004e-05,1.1477e-05,1.2422e-05,1.4312e-05,1.0362e-05,1.5623e-05,1.2186e-05,1.3723e-05,1.627e-05,2.0257e-05
402,1.1382e-05,1.1493e-05,1.1605e-05,1.1828e-05,1.2275e-05,1.3168e-05,1.2245e-05,1.4736e-05,1.2935e-05,1.4605e-05,1.6464e-05,1.9054e-05
404,1.1282e-05,1.1524e-05,1.1766e-05,1.2249e-05,1.3217e-05,1.5153e-05,1.3093e-05,1.6654e-05,1.4537e-05,1.5571e-05,1.7499e-05,1.8572e-05
406,1.5098e-05,1.5228e-05,1.5359e-05,1.5621e-05,1.6144e-05,1.7191e-05,1.6015e-05,1.9255e-05,1.7223e-05,1.7141e-05,1.8986e-05,1.8978e-05
408,2.3375e-05,2.3361e-05,2.3347e-05,2.3318e-05,2.3261e-05,2.3147e-05,2.3931e-05,2.5794e-05,2.3423e-05,2.201e-05,2.3638e-05,2.1547e-05
