Wavelength [nm],Background nominal [32 yrs],Modulation nominal [x0.25 32 yrs],Modulation nominal [x0.50 32 yrs],Modulation nominal [x1.00 32 yrs],Modulation nominal [x2.00 32 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
380,2.6357e-05,2.6601e-05,2.6846e-05,2.7335e-05,2.8312e-05,1.8734e-05,2.1262e-05,2.1316e-05,1.9999e-05,2.2601e-05
382,1.8625e-05,1.8821e-05,1.9018e-05,1.941e-05,2.0195e-05,1.8468e-05,2.032e-05,2.1249e-05,1.7415e-05,2.2504e-05
384,2.6806e-05,2.705e-05,2.7294e-05,2.7783e-05,2.876e-05,1.6922e-05,2.0245e-05,2.0537e-05,1.9698e-05,2.2514e-05
386,2.8489e-05,2.8735e-05,2.8982e-05,2.9476e-05,3.0463e-05,1.7609e-05,1.9824e-05,1.9997e-05,2.02e-05,2.347e-05
388,2.1009e-05,2.1184e-05,2.1359e-05,2.1709e-05,2.241e-05,1.8447e-05,1.9937e-05,1.9766e-05,2.0486e-05,2.2986e-05
390,1.913e-05,1.9291e-05,1.9451e-05,1.9773e-05,2.0416e-05,1.8822e-05,1.9816e-05,2.1204e-05,1.8631e-05,2.1587e-05
392,1.8781e-05,1.8921e-05,1.9061e-05,1.9341e-05,1.9901e-05,2.0101e-05,1.8951e-05,1.9783e-05,1.7926e-05,2.0896e-05
394,2.2659e-05,2.2783e-05,2.2907e-05,2.3154e-05,2.365e-05,2.0489e-05,1.8974e-05,2.0057e-05,1.9826e-05,2.2515e-05
396,2.655e-05,2.6764e-05,2.6977e-05,2.7404e-05,2.8259e-05,1.8853e-05,1.8446e-05,2.0355e-05,1.8909e-05,1.8648e-05
398,2.0404e-05,2.0499e-05,2.0593e-05,2.0782e-05,2.1161e-05,1.9946e-05,1.7742e-05,1.9882e-05,1.8449e-05,2.0636e-05
400,2.4054e-05,2.414e-05,2.4226e-05,2.4398e-05,2.4741e-05,2.0606e-05,1.9448e-05,2.0863e-05,1.8472e-05,2.1271e-05
402,2.8682e-05,2.8664e-05,2.8645e-05,2.8609e-05,2.8537e-05,2.3548e-05,2.2384e-05,2.4371e-05,2.1978e-05,2.3139e-05
404,3.7862e-05,3.7597e-05,3.7332e-05,3.6802e-05,3.5743e-05,3.061e-05,2.9428e-05,3.022e-05,2.9316e-05,3.03e-05
406,5.8078e-05,5.7422e-05,5.6765e-05,5.5452e-05,5.2827e-05,4.7366e-05,4.5352e-05,4.5934e-05,4.321e-05,4.3894e-05
408,9.5153e-05,9.3855e-05,9.2556e-05,8.9959e-05,8.4764e-05,7.4472e-05,7.1414e-05,7.3272e-05,6.768e-05,6.5138e-05
410,0.00014591,0.00014349,0.00014107,0.00013623,0.00012656,0.00011542,0.00011247,0.00011238,0.00010697,9.909e-05
412,0.00023001,0.00022561,0.00022121,0.0002124,0.00019479,0.00018099,0.00017475,0.00017259,0.00016606,0.00015474
414,0.00033016,0.00032298,0.0003158,0.00030144,0.00027271,0.00026064,0.00025382,0.00025062,0.00023842,0.00022026
416,0.00045375,0.00044275,0.00043175,0.00040974,0.00036574,0.00036024,0.0003497,0.00034408,0.00032698,0.0002961
418,0.0005928,0.00057681,0.00056081,0.00052883,0.00046486,0.00047758,0.00046316,0.00045272,0.00042828,0.00038206
420,0.00072547,0.00070416,0.00068284,0.00064021,0.00055495,0.00059514,0.00057578,0.00056092,0.00052786,0.00046234
