Wavelength [nm],Background nominal [28 yrs],Modulation nominal [x0.25 28 yrs],Modulation nominal [x0.50 28 yrs],Modulation nominal [x1.00 28 yrs],Modulation nominal [x2.00 28 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
380,2.6357e-05,2.6604e-05,2.685e-05,2.7344e-05,2.833e-05,2.3288e-05,2.0511e-05,2.0008e-05,1.9568e-05,2.3562e-05
382,1.8625e-05,1.8822e-05,1.902e-05,1.9414e-05,2.0203e-05,2.25e-05,2.007e-05,1.9492e-05,2.164e-05,2.0713e-05
384,2.6806e-05,2.7052e-05,2.7298e-05,2.779e-05,2.8774e-05,2.1525e-05,1.9317e-05,1.8119e-05,2.0039e-05,2.1615e-05
386,2.8489e-05,2.8737e-05,2.8986e-05,2.9483e-05,3.0477e-05,2.1144e-05,1.9206e-05,1.9404e-05,2.024e-05,2.182e-05
388,2.1009e-05,2.1185e-05,2.1362e-05,2.1715e-05,2.2422e-05,1.9924e-05,1.8139e-05,1.9711e-05,2.1019e-05,2.1933e-05
390,1.913e-05,1.9292e-05,1.9454e-05,1.9777e-05,2.0425e-05,2.0555e-05,1.8047e-05,1.9183e-05,2.0711e-05,2.2281e-05
392,1.8781e-05,1.8922e-05,1.9063e-05,1.9345e-05,1.9909e-05,1.9732e-05,1.785e-05,1.9529e-05,1.9444e-05,2.1447e-05
394,2.2659e-05,2.2784e-05,2.2909e-05,2.316e-05,2.3661e-05,1.916e-05,1.885e-05,1.8428e-05,1.8382e-05,2.051e-05
396,2.655e-05,2.6765e-05,2.6981e-05,2.7411e-05,2.8272e-05,1.8043e-05,1.7332e-05,1.8114e-05,2.0295e-05,2.1016e-05
398,2.0404e-05,2.05e-05,2.0596e-05,2.0788e-05,2.1171e-05,1.8757e-05,1.6477e-05,1.8658e-05,2.0229e-05,1.9952e-05
400,2.4054e-05,2.414e-05,2.4227e-05,2.4401e-05,2.4748e-05,1.9681e-05,1.8236e-05,1.9392e-05,1.9981e-05,2.133e-05
402,2.8682e-05,2.8663e-05,2.8645e-05,2.8608e-05,2.8535e-05,2.3088e-05,2.0886e-05,2.3826e-05,2.3389e-05,2.5592e-05
404,3.7862e-05,3.7594e-05,3.7326e-05,3.679e-05,3.5718e-05,3.2428e-05,2.9784e-05,3.3104e-05,3.1072e-05,3.4084e-05
406,5.8078e-05,5.7413e-05,5.6749e-05,5.542e-05,5.2761e-05,5.1076e-05,4.9178e-05,5.1256e-05,4.889e-05,5.022e-05
408,9.5153e-05,9.3839e-05,9.2524e-05,8.9894e-05,8.4635e-05,8.1104e-05,7.9112e-05,8.061e-05,7.7508e-05,7.6796e-05
410,0.00014591,0.00014346,0.00014102,0.00013612,0.00012634,0.00012655,0.00012394,0.00012474,0.0001189,0.0001145
412,0.00023001,0.00022556,0.00022111,0.00021221,0.00019441,0.00019767,0.00019239,0.00019227,0.00018364,0.00017232
414,0.00033016,0.00032291,0.00031565,0.00030114,0.00027213,0.00028566,0.00027828,0.00027436,0.0002622,0.00024208
416,0.00045375,0.00044265,0.00043154,0.00040933,0.0003649,0.00039194,0.0003814,0.00037464,0.00035528,0.00032406
418,0.0005928,0.00057667,0.00056053,0.00052827,0.00046374,0.00051504,0.000501,0.00048996,0.00046164,0.00041424
420,0.00072547,0.00070398,0.00068249,0.00063951,0.00055356,0.00063402,0.00061606,0.00059982,0.00056176,0.00049516
422,0.00081093,0.00078493,0.00075893,0.00070693,0.00060292,0.00071954,0.00069722,0.00067722,0.0006309,0.00054556
424,0.00084554,0.00081631,0.00078708,0.00072861,0.00061168,0.0007641,0.00073896,0.00071564,0.00066192,0.00056258
426,0.00083903,0.00080786,0.00077669,0.00071436,0.00058969,0.0007719,0.00074456,0.00071842,0.0006596,0.000552
428,0.00079633,0.00076475,0.00073318,0.00067002,0.00054371,0.00074448,0.00071572,0.00068786,0.0006272,0.00051622
430,0.00071657,0.0006861,0.00065564,0.00059472,0.00047287,0.00069138,0.00066224,0.00063406,0.00057442,0.0004635
432,0.00060432,0.00057696,0.0005496,0.00049488,0.00038543,0.00060358,0.0005764,0.00054998,0.00049492,0.00038988
434,0.0004703,0.0004478,0.00042531,0.00038032,0.00029035,0.00048712,0.00046474,0.00044218,0.0003944,0.00030424
436,0.00032734,0.00031093,0.00029453,0.00026172,0.00019611,0.00035484,0.00033824,0.00032106,0.00028366,0.00021337
438,0.00020241,0.00019161,0.00018081,0.00015922,0.00011603,0.00022993,0.00021879,0.00020706,0.00017965,0.00013096
