Wavelength [nm],Background nominal [44 yrs],Modulation nominal [x0.25 44 yrs],Modulation nominal [x0.50 44 yrs],Modulation nominal [x1.00 44 yrs],Modulation nominal [x2.00 44 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
380,2.6357e-05,2.6595e-05,2.6832e-05,2.7307e-05,2.8258e-05,2.4896e-05,2.3232e-05,2.2115e-05,2.3023e-05,2.2141e-05
382,1.8625e-05,1.8818e-05,1.9011e-05,1.9397e-05,2.0169e-05,2.2742e-05,2.1722e-05,1.9999e-05,2e-05,1.9942e-05
384,2.6806e-05,2.7045e-05,2.7284e-05,2.7761e-05,2.8716e-05,2.1992e-05,2.0073e-05,2.0136e-05,1.9716e-05,2.1064e-05
386,2.8489e-05,2.873e-05,2.8972e-05,2.9455e-05,3.0421e-05,2.3152e-05,2.1593e-05,2.0098e-05,2.1432e-05,2.2148e-05
388,2.1009e-05,2.1179e-05,2.135e-05,2.1691e-05,2.2373e-05,2.2575e-05,2.1074e-05,2.1122e-05,2.0765e-05,2.2888e-05
390,1.913e-05,1.9287e-05,1.9445e-05,1.976e-05,2.039e-05,2.1474e-05,2.0628e-05,2.1708e-05,2.2486e-05,2.124e-05
392,1.8781e-05,1.8918e-05,1.9056e-05,1.933e-05,1.9879e-05,2.1778e-05,1.9058e-05,2.1231e-05,2.0775e-05,2.0633e-05
394,2.2659e-05,2.2779e-05,2.2898e-05,2.3138e-05,2.3617e-05,1.9258e-05,1.8939e-05,2.1782e-05,1.9584e-05,2.3107e-05
396,2.655e-05,2.6759e-05,2.6967e-05,2.7384e-05,2.8218e-05,1.9287e-05,1.8714e-05,1.9446e-05,2.0385e-05,2.1015e-05
398,2.0404e-05,2.0495e-05,2.0585e-05,2.0767e-05,2.1129e-05,1.8899e-05,1.9038e-05,1.8774e-05,2.2003e-05,2.0399e-05
