Wavelength [nm],Background nominal [29 yrs],Modulation nominal [x0.25 29 yrs],Modulation nominal [x0.50 29 yrs],Modulation nominal [x1.00 29 yrs],Modulation nominal [x2.00 29 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
380,2.6357e-05,2.6603e-05,2.6849e-05,2.7341e-05,2.8325e-05,2.0516e-05,2.0508e-05,2.0809e-05,2.0762e-05,2.3997e-05
382,1.8625e-05,1.8822e-05,1.9019e-05,1.9413e-05,2.0201e-05,2.0527e-05,1.9754e-05,1.9536e-05,2.0398e-05,2.3293e-05
384,2.6806e-05,2.7052e-05,2.7297e-05,2.7788e-05,2.877e-05,1.9408e-05,1.9444e-05,2.0811e-05,1.9924e-05,2.3521e-05
386,2.8489e-05,2.8737e-05,2.8985e-05,2.9481e-05,3.0474e-05,1.9607e-05,1.8911e-05,2.1541e-05,1.9174e-05,2.1997e-05
388,2.1009e-05,2.1185e-05,2.1361e-05,2.1714e-05,2.2419e-05,1.9507e-05,1.8431e-05,2.0169e-05,1.8954e-05,2.1944e-05
390,1.913e-05,1.9291e-05,1.9453e-05,1.9776e-05,2.0423e-05,1.8278e-05,2.0301e-05,1.9058e-05,2.0119e-05,2.2545e-05
392,1.8781e-05,1.8922e-05,1.9063e-05,1.9344e-05,1.9907e-05,1.8359e-05,1.9067e-05,1.9522e-05,1.9657e-05,2.2593e-05
394,2.2659e-05,2.2784e-05,2.2909e-05,2.3158e-05,2.3658e-05,1.8618e-05,1.8848e-05,2.0778e-05,1.9689e-05,2.2639e-05
396,2.655e-05,2.6765e-05,2.698e-05,2.7409e-05,2.8269e-05,1.8587e-05,1.8547e-05,2.0299e-05,1.9562e-05,2.1411e-05
398,2.0404e-05,2.05e-05,2.0595e-05,2.0786e-05,2.1168e-05,1.9088e-05,1.8198e-05,2.0188e-05,1.871e-05,2.1473e-05
400,2.4054e-05,2.414e-05,2.4227e-05,2.44e-05,2.4746e-05,1.9497e-05,1.9279e-05,2.1561e-05,1.9639e-05,2.176e-05
402,2.8682e-05,2.8663e-05,2.8645e-05,2.8608e-05,2.8535e-05,2.135e-05,2.1513e-05,2.3842e-05,2.2965e-05,2.2623e-05
404,3.7862e-05,3.7595e-05,3.7327e-05,3.6793e-05,3.5724e-05,2.909e-05,2.9101e-05,3.1392e-05,3.0576e-05,2.9756e-05
406,5.8078e-05,5.7416e-05,5.6753e-05,5.5428e-05,5.2778e-05,4.665e-05,4.6744e-05,4.7832e-05,4.623e-05,4.4638e-05
408,9.5153e-05,9.3843e-05,9.2532e-05,8.9911e-05,8.4668e-05,7.436e-05,7.3996e-05,7.4548e-05,7.3082e-05,6.9278e-05
410,0.00014591,0.00014347,0.00014103,0.00013615,0.00012639,0.00011861,0.00011769,0.00011677,0.00011166,0.00010593
412,0.00023001,0.00022557,0.00022114,0.00021226,0.00019451,0.0001863,0.00018505,0.00018258,0.00017442,0.0001613
414,0.00033016,0.00032293,0.00031569,0.00030122,0.00027228,0.00027182,0.00026662,0.0002629,0.00025058,0.00023116
416,0.00045375,0.00044267,0.00043159,0.00040943,0.00036511,0.0003759,0.0003678,0.00036068,0.00034338,0.00031138
418,0.0005928,0.0005767,0.00056061,0.00052841,0.00046403,0.0005013,0.00048864,0.00047688,0.000452,0.00040288
420,0.00072547,0.00070402,0.00068258,0.00063969,0.00055391,0.00062422,0.00060716,0.00058962,0.00055488,0.00048802
422,0.00081093,0.00078498,0.00075903,0.00070713,0.00060333,0.00071476,0.000693,0.00067162,0.0006274,0.00054366
424,0.00084554,0.00081636,0.00078718,0.00072882,0.0006121,0.00076426,0.00073882,0.00071384,0.00066186,0.0005655
426,0.00083903,0.00080791,0.0007768,0.00071457,0.00059011,0.00077512,0.00074708,0.00071968,0.00066192,0.00055708
428,0.00079633,0.0007648,0.00073327,0.00067021,0.00054409,0.00074722,0.00071812,0.0006885,0.00063026,0.00051822
430,0.00071657,0.00068614,0.00065572,0.00059488,0.0004732,0.00068938,0.00066086,0.0006327,0.0005744,0.00046244
432,0.00060432,0.00057699,0.00054966,0.00049499,0.00038567,0.00059866,0.00057254,0.00054588,0.0004932,0.000388
434,0.0004703,0.00044782,0.00042534,0.00038039,0.00029048,0.00048282,0.00046096,0.00043776,0.00039282,0.00030278
436,0.00032734,0.00031093,0.00029453,0.00026173,0.00019612,0.00035276,0.00033678,0.0003188,0.00028438,0.0002159
438,0.00020241,0.0001916,0.00018079,0.00015916,0.00011592,0.00022996,0.00021886,0.00020666,0.00018184,0.0001345
440,0.00012413,0.00011669,0.00010924,9.4354e-05,6.4575e-05,0.0001393,0.00013265,0.00012279,0.00010604,7.3456e-05
442,9.2499e-05,8.6214e-05,7.993e-05,6.736e-05,4.2221e-05,9.508e-05,9.0176e-05,8.2782e-05,7.0446e-05,4.5778e-05
444,8.8637e-05,8.241e-05,7.6183e-05,6.373e-05,3.8822e-05,8.5778e-05,8.0592e-05,7.3844e-05,6.2086e-05,3.868e-05
446,8.9806e-05,8.3344e-05,7.6881e-05,6.3957e-05,3.8108e-05,8.8022e-05,8.2566e-05,7.5e-05,6.2734e-05,3.8054e-05
448,9.6155e-05,8.9363e-05,8.2571e-05,6.8986e-05,4.1818e-05,9.4744e-05,8.8788e-05,8.088e-05,6.6926e-05,4.083e-05
450,0.00010647,9.9381e-05,9.229e-05,7.8109e-05,4.9746e-05,0.00010314,9.684e-05,8.8254e-05,7.337e-05,4.529e-05
452,0.00011097,0.00010375,9.6529e-05,8.2088e-05,5.3206e-05,0.00010902,0.00010278,9.295e-05,7.8348e-05,4.9168e-05
454,0.00011591,0.00010902,0.00010213,8.8359e-05,6.0808e-05,0.00011137,0.00010487,9.7502e-05,8.2644e-05,5.433e-05
456,0.00012198,0.00011565,0.00010933,9.6673e-05,7.1367e-05,0.00011743,0.00011023,0.00010326,8.9318e-05,6.3634e-05
458,0.00013001,0.00012422,0.00011842,0.00010684,8.3664e-05,0.00012511,0.00011961,0.00011154,9.9068e-05,7.5154e-05
460,0.00013742,0.00013244,0.00012746,0.00011749,9.7571e-05,0.00013393,0.00012888,0.00012185,0.00011084,8.9388e-05
462,0.00014671,0.0001429,0.00013909,0.00013146,0.00011621,0.00014408,0.00014023,0.00013366,0.00012444,0.0001079
464,0.00015999,0.00015759,0.00015518,0.00015038,0.00014076,0.00015511,0.00015229,0.00014751,0.00014079,0.00012988
466,0.00017458,0.00017397,0.00017336,0.00017213,0.00016969,0.00016907,0.00016771,0.00016518,0.00016148,0.00015775
468,0.00019161,0.00019329,0.00019497,0.00019833,0.00020504,0.00018448,0.00018614,0.00018583,0.00018587,0.00019069
470,0.00019927,0.00020291,0.00020655,0.00021383,0.00022839,0.00018924,0.00019239,0.00019415,0.00019966,0.00021224
472,0.00020148,0.00020672,0.00021195,0.00022242,0.00024336,0.00019031,0.00019434,0.00019873,0.00020738,0.00022736
474,0.00020184,0.0002084,0.00021496,0.00022807,0.0002543,0.0001895,0.00019462,0.00020093,0.00021148,0.000236
476,0.00019898,0.00020643,0.00021388,0.00022878,0.00025858,0.00018436,0.00019023,0.00019723,0.0002098,0.00023632
478,0.00019865,0.00020671,0.00021477,0.00023088,0.00026312,0.00018646,0.00019214,0.00020009,0.00021304,0.00024268
480,0.0002109,0.00021969,0.00022847,0.00024604,0.00028118,0.00019782,0.00020484,0.0002149,0.0002294,0.00026228
482,0.00022586,0.00023535,0.00024484,0.00026382,0.00030178,0.00021496,0.00022336,0.00023316,0.00024994,0.00028618
484,0.00024608,0.00025575,0.00026542,0.00028477,0.00032346,0.00022668,0.00023706,0.00024582,0.00026364,0.0003003
486,0.00030552,0.00031494,0.00032436,0.00034321,0.00038089,0.00025682,0.00026578,0.00027552,0.00029212,0.00032788
488,0.00048122,0.00049032,0.00049942,0.00051762,0.00055403,0.00036352,0.00037162,0.00038066,0.00039696,0.00043092
490,0.00086831,0.00087699,0.00088566,0.00090301,0.00093772,0.00063954,0.00064666,0.0006559,0.00067032,0.00070282
492,0.0014818,0.0014901,0.0014984,0.001515,0.0015482,0.0011393,0.0011451,0.0011534,0.0011664,0.001197
494,0.0022883,0.0022973,0.0023062,0.002324,0.0023597,0.0018477,0.0018527,0.0018603,0.0018714,0.0018996
496,0.003095,0.0031062,0.0031175,0.0031401,0.0031852,0.00257,0.0025742,0.0025828,0.0025964,0.002627
498,0.003882,0.0038968,0.0039116,0.0039412,0.0040003,0.0033218,0.0033292,0.0033408,0.0033598,0.003401
500,0.0045779,0.0045965,0.0046152,0.0046524,0.0047269,0.0040662,0.0040766,0.0040924,0.00412,0.004177
502,0.0050918,0.0051136,0.0051353,0.0051788,0.0052658,0.00468,0.0046946,0.0047156,0.0047516,0.004823
504,0.0053922,0.005416,0.0054399,0.0054875,0.0055829,0.0050508,0.0050688,0.0050944,0.0051382,0.0052226
506,0.0053931,0.0054186,0.005444,0.005495,0.0055968,0.0050496,0.0050714,0.0050998,0.0051496,0.0052432
508,0.0049382,0.004965,0.0049919,0.0050456,0.005153,0.0046466,0.0046712,0.0046992,0.0047522,0.0048536
510,0.004144,0.0041712,0.0041984,0.0042527,0.0043614,0.00398,0.0040054,0.0040334,0.0040852,0.0041858
512,0.0032738,0.0032982,0.0033227,0.0033717,0.0034696,0.0031806,0.0032032,0.0032278,0.003273,0.0033616
514,0.0023425,0.0023595,0.0023765,0.0024105,0.0024786,0.0023312,0.0023482,0.0023664,0.0023978,0.0024612
516,0.0013914,0.0013979,0.0014043,0.0014172,0.001443,0.0015137,0.0015218,0.0015317,0.0015462,0.0015729
518,0.00071034,0.0007069,0.00070347,0.0006966,0.00068285,0.00084056,0.0008392,0.00083918,0.00083534,0.0008234
520,0.00046034,0.00044984,0.00043934,0.00041834,0.00037634,0.00050666,0.00049834,0.00049024,0.00047104,0.00043042
522,0.00039925,0.00038319,0.00036713,0.000335,0.00027075,0.00040394,0.00039016,0.00037684,0.00034606,0.00028378
524,0.00038949,0.00036909,0.00034869,0.00030789,0.00022629,0.00038026,0.00036208,0.0003445,0.00030538,0.00022534
526,0.00039249,0.00036919,0.00034588,0.00029926,0.00020603,0.00037742,0.00035622,0.00033582,0.00029114,0.00019848
528,0.00039597,0.00037067,0.00034537,0.00029476,0.00019354,0.00037934,0.00035694,0.00033414,0.00028584,0.00018407
530,0.00040114,0.00037422,0.0003473,0.00029345,0.00018576,0.00038252,0.00035926,0.0003346,0.00028274,0.00017483
532,0.00040575,0.00037795,0.00035014,0.00029454,0.00018333,0.00038626,0.00036172,0.00033676,0.00028262,0.0001717
534,0.00040751,0.0003793,0.00035108,0.00029466,0.0001818,0.0003901,0.00036518,0.0003396,0.00028516,0.00017134
536,0.00041196,0.00038328,0.0003546,0.00029725,0.00018255,0.0003949,0.00036872,0.00034272,0.00028774,0.00017171
538,0.0004168,0.00038783,0.00035887,0.00030095,0.0001851,0.00039944,0.00037324,0.00034682,0.0002903,0.00017319
540,0.00041954,0.00039046,0.00036138,0.00030322,0.00018691,0.00040504,0.00037836,0.00035122,0.00029456,0.00017606
542,0.00042485,0.00039545,0.00036604,0.00030724,0.00018963,0.00041264,0.00038504,0.00035742,0.0003,0.00017834
544,0.0004317,0.00040215,0.00037261,0.00031351,0.00019532,0.00041918,0.00039156,0.00036334,0.00030508,0.00018153
546,0.00043649,0.00040689,0.0003773,0.0003181,0.0001997,0.00042516,0.00039692,0.0003686,0.00030984,0.00018545
548,0.00044191,0.00041215,0.0003824,0.00032289,0.00020388,0.00043164,0.00040296,0.00037488,0.00031494,0.00018929
550,0.00044774,0.00041794,0.00038814,0.00032855,0.00020937,0.00043804,0.00040942,0.00038082,0.00032062,0.00019355
552,0.00045777,0.00042771,0.00039764,0.00033752,0.00021726,0.00044562,0.00041674,0.00038756,0.00032728,0.00019955
554,0.0004686,0.00043799,0.00040737,0.00034615,0.00022371,0.00045266,0.00042374,0.00039472,0.0003345,0.00020482
556,0.00047698,0.00044626,0.00041555,0.00035411,0.00023124,0.00045984,0.00043106,0.00040136,0.00034048,0.00021214
558,0.00048595,0.00045526,0.00042456,0.00036317,0.00024038,0.0004681,0.00043878,0.00040906,0.0003486,0.00022016
560,0.00049584,0.00046503,0.00043423,0.00037262,0.0002494,0.00047674,0.0004476,0.0004177,0.00035704,0.000229
562,0.0005082,0.00047755,0.0004469,0.0003856,0.00026299,0.000487,0.0004577,0.0004277,0.00036732,0.00023906
564,0.00052184,0.00049147,0.0004611,0.00040035,0.00027885,0.00049994,0.00047084,0.00044168,0.00038106,0.00025322
566,0.0005603,0.00053032,0.00050034,0.00044039,0.00032048,0.00052192,0.00049362,0.00046354,0.00040374,0.00027714
